Element1,Element2,Element3,Element4,afm,lat,sws0,sws_init,mag,B0,TC
Ti,Mn,Tl,Pb,0,0,3.2809181,3.294942679076492,0.80237137,63.8442,157.404637
Ti,Mn,Tl,Pd,0,1,3.0607333,3.089571017627028,0.76740507,97.98558,107.163668
Ti,Mn,Tl,Pt,0,1,3.054137,3.094584179093366,0.8079460399999999,109.99589,87.59370000000001
Ti,Mn,Tl,Re,0,0,3.020947,3.0891272110650787,0.6590054230000001,129.11012,62.0573912
Ti,Mn,Tl,Rh,0,0,2.9863675,3.0758004140633712,0.83599916,140.79257,111.608978
Ti,Mn,Tl,Ru,0,0,3.0152907,3.0731117141185385,0.8281151000000001,116.8054,93.079792
Ti,Mn,Tl,Sb,0,1,3.2678926,3.2937101644463493,0.764571371,66.124146,123.22072
Ti,Mn,Tl,Si,0,1,3.0610003,3.162367741541912,0.685567614,77.11011,114.02492
Ti,Mn,Tl,Sn,0,1,3.251011,3.253983192678364,0.74541217,68.83978,132.38629000000003
Ti,Mn,Tl,Tc,0,0,3.108212,3.083861882444957,0.697359786,68.55156,105.487036
Ti,Mn,Tl,Te,0,0,3.334329,3.3393124705198365,0.691400672,59.92509,153.404638
Ti,Mn,Tl,V,0,0,3.0180898,3.0775196596757874,0.1004264753,92.391525,86.93093200000001
Ti,Mn,Tl,W,0,0,3.0490787,3.1051864432634995,0.62491866,121.76972,84.42565920000001
Ti,Mn,Tl,Zn,0,1,3.083515,3.096236125790044,0.555488738,74.2291,133.13280600000002
Ti,Mn,V,Ag,1,0,2.8953204,2.904370346679433,0.000248332404,112.15358,16.674788142880004
Ti,Mn,V,As,0,0,2.8563154,2.97379013743477,0.03151371322583,105.65796,25.583973200000003
Ti,Mn,V,Au,1,0,2.9225042,2.903048327330552,0.00046506485652,137.364,15.3772021968
Ti,Mn,V,Bi,0,0,3.1959884,3.171370355273977,0.2015973398558599,95.43256,70.85239200000001
Ti,Mn,V,Cd,0,0,3.009595,2.9747981507104284,0.01348316262069,97.86967,21.69954904
Ti,Mn,V,Co,0,0,2.869076,2.806467292780904,0.01880884159653,146.98227,51.097594400000006
Ti,Mn,V,Cr,1,0,2.760488,2.8217251809881168,1.584937374e-05,141.72609,18.95527310104
Ti,Mn,V,Cu,1,1,2.813966,2.818445471229849,2.001174367e-05,115.20286,4.82098566728
Ti,Mn,V,Fe,0,0,2.8891013,2.8178840726269923,0.015336160622,142.07457,65.4611308
Ti,Mn,V,Ga,0,0,2.836997,2.9445126349075705,0.02835422679542,106.56838,13.53592272
Ti,Mn,V,Ge,0,0,2.981856,2.9908342978108773,0.03843573161219,98.66741,19.942069000000004
Ti,Mn,V,Hg,0,0,2.9825742,3.002007572144393,0.061379301987,104.9901,65.07157600000001
Ti,Mn,V,In,0,0,2.9767175,3.042040355491661,0.05168484468772,95.729416,55.1144224
Ti,Mn,V,Ir,0,0,2.9741046,2.8574732665165903,0.011073578735,100.48119,19.765148992
Ti,Mn,V,Mo,1,0,2.860774,2.8808440548241605,1.02089803e-06,152.1249,35.226302751999995
Ti,Mn,V,Ni,1,0,2.7537525,2.803747434225852,2.4559040200000003e-06,131.66234,5.286427342720001
Ti,Mn,V,Os,1,0,2.8955047,2.8552053212068818,8.381595696000001e-05,102.76624,53.561730280800006
Ti,Mn,V,Pb,0,0,3.0926075,3.102038854824313,0.2673531886781,111.40688,152.579594
Ti,Mn,V,Pd,1,0,2.8514369,2.8671331250587406,0.00090901774,131.06561,17.909722216
Ti,Mn,V,Pt,1,0,2.8726647,2.872951956005477,3.2780585070000004e-05,155.26416,31.562011916160003
Ti,Mn,V,Re,1,0,2.8380523,2.8666177658429155,1.70826096e-06,185.89397,31.8279821652
Ti,Mn,V,Rh,1,0,2.8062263,2.85112488602052,5.070784330000001e-06,188.89961,14.97558620288
Ti,Mn,V,Ru,1,0,2.811316,2.847995037604836,5.9726393700000005e-06,156.61087,33.94330501616
Ti,Mn,V,Sb,0,0,3.0512424,3.1006481799966643,0.02077259019,101.95426,37.2644864
Ti,Mn,V,Si,0,1,3.0001404,2.951182808995856,0.08037423265,124.82605,18.5332962
Ti,Mn,V,Sn,0,0,3.0150175,3.055710367106105,0.0178738704046,108.87166,33.9082452
Ti,Mn,V,Tc,1,0,2.8466692,2.860500686553154,5.99428283e-06,102.09544,45.39194483344
